filename,OA,RPA,RCA,VR
MusicDelta_ModalJazz_STEM_02,0.6473878509900436,0.6873364571289479,0.6558753727256131,0.9060297572435395
MusicDelta_FunkJazz_STEM_04,0.8165256229431124,0.9325396825396826,0.9021825396825397,0.8382698636577339
MatthewEntwistle_TheArch_STEM_10,0.8598194032455069,0.8993978926241847,0.8893627696939288,0.9007590298377246
MusicDelta_Beatles_STEM_08,0.8791892754548356,0.9031587697423109,0.8229426433915212,0.9106287902968401
MusicDelta_Gospel_STEM_06,0.7181727600214609,0.8948390043388902,0.8415163279287509,0.7737410899057254
MusicDelta_ChineseDrama_STEM_01,0.7069137821386391,0.7573597768825534,0.6293771304617292,0.77196329608431
Creepoid_OldTree_STEM_08,0.37177541729893776,0.992232863283312,0.9766231807555992,0.37344653387372506
MusicDelta_ChineseJiangNan_STEM_01,0.7103106344227461,0.8348756506651244,0.7102371312897628,0.7369219872508348
MusicDelta_Country1_STEM_05,0.6728487886382624,0.8563040791100124,0.7626699629171817,0.7421888053467001
AvaLuna_Waterduct_STEM_08,0.5847772554286994,0.8453942520265291,0.7554163596168018,0.6242892321468547
MusicDelta_CoolJazz_STEM_05,0.738625971650663,0.9731084776663628,0.968094804010939,0.7411408321902149
MusicDelta_Country2_STEM_05,0.6301962088460259,0.7532400207361327,0.678589942975635,0.7186564682407716
MusicDelta_Beethoven_STEM_14,0.8797709923664122,0.9847328244274809,0.982824427480916,0.8901611535199322
MusicDelta_Beethoven_STEM_16,0.8829516539440203,0.9799613713182037,0.972235634958957,0.8967345207803223
MusicDelta_Rockabilly_STEM_05,0.6877656005367927,0.8448762143528674,0.7640238169852711,0.7859539252963543
MusicDelta_Grunge_STEM_05,0.5820274580502011,0.70225,0.583,0.6775759256691166
BrandonWebster_YesSirICanFly_STEM_02,0.5898048354209147,0.8216527734897602,0.7498199032623237,0.6721817652199242
MusicDelta_Punk_STEM_04,0.6332996972754793,0.8271352676747037,0.6432366162648141,0.6647830474268416
