filename,OA,RPA,RCA,VR
CelestialShore_DieForUs_STEM_02,0.7481148189809607,0.9690581434886093,0.9485435792814235,0.7535308086489189
AimeeNorwich_Child_STEM_04,0.7604661861677657,0.9772117962466488,0.9638069705093834,0.7680723815365742
SecretMountains_HighHorse_STEM_09,0.7203834032755834,0.8737290915054116,0.8425244810945041,0.7525350663771003
MusicDelta_GriegTrolltog_STEM_05,0.3524576271186441,0.3326929234710215,0.3360550752481588,0.6948305084745763
MusicDelta_Disco_STEM_04,0.56824525493115,0.5973023064250412,0.5278006589785832,0.7459527353926312
InvisibleFamiliars_DisturbingWildlife_STEM_09,0.6888039496735149,0.9286502137046739,0.8411002343857714,0.7144184318097362
MusicDelta_FunkJazz_STEM_04,0.7554066760695816,0.8978174603174603,0.858531746031746,0.7825575928537847
MusicDelta_Beatles_STEM_08,0.8300351101180977,0.8981712385702411,0.815045719035744,0.8670603255665497
MusicDelta_Gospel_STEM_06,0.749750900590174,0.8807947019867549,0.8287280200959123,0.8174292940905955
Creepoid_OldTree_STEM_08,0.8296229423176659,0.9899705904532087,0.9730035442274338,0.831601390676322
MusicDelta_ChineseJiangNan_STEM_01,0.7065668319336234,0.8218623481781376,0.6827646038172354,0.7316604269958514
MusicDelta_Country1_STEM_05,0.6609857978279031,0.8464153275648949,0.7552533992583437,0.7360066833751044
AvaLuna_Waterduct_STEM_08,0.5301992388627714,0.836551215917465,0.7469417833456153,0.5703380344750392
MusicDelta_Country2_STEM_05,0.7056867309610908,0.7325038880248833,0.6568170036288232,0.8044562687063519
MusicDelta_Beethoven_STEM_14,0.9478371501272265,0.9806774809160306,0.978530534351145,0.9565309584393554
MusicDelta_Rockabilly_STEM_05,0.6933571907850593,0.8191789407709182,0.7430272641805077,0.8089912771192127
MusicDelta_Grunge_STEM_05,0.5058937734017473,0.68675,0.583,0.6068506448481487
BrandonWebster_YesSirICanFly_STEM_02,0.5667346344305272,0.8130081300813008,0.7434393331275085,0.6501602097290999
MusicDelta_Punk_STEM_04,0.662159434914228,0.8218226399673069,0.6432366162648141,0.7019172552976791
HezekiahJones_BorrowedHeart_STEM_10,0.7172001153402537,0.9097368230261726,0.830276227071703,0.7414936562860438
MusicDelta_Reggae_STEM_04,0.5410435360584912,0.74263431542461,0.6785095320623917,0.6271186440677966
AClassicEducation_NightOwl_STEM_08,0.7263154330602019,0.8857592446892211,0.808654602675059,0.7656260581025259
MusicDelta_Britpop_STEM_07,0.7055853581571474,0.8753943217665615,0.8031019978969506,0.7769012306721363
DreamersOfTheGhetto_HeavyLove_STEM_06,0.7001987523860126,0.9206332727744615,0.832701790812354,0.725347816675522
TheSoSoGlos_Emergency_STEM_05,0.6823316764572978,0.8456284153005464,0.7520947176684881,0.7116340505405123
NightPanther_Fire_STEM_07,0.7293415458410553,0.9554314498466929,0.8845816907577748,0.7491551291834733
MusicDelta_Beethoven_STEM_08,0.8392705682782019,0.9314626272659549,0.9232679413955799,0.8704410517387616
BigTroubles_Phantom_STEM_04,0.643686788874842,0.8917939140942547,0.8334614962100406,0.66474399494311
AClassicEducation_NightOwl_STEM_13,0.7366763729938376,0.9490291262135923,0.8680825242718446,0.7461908309067515
MusicDelta_Britpop_STEM_08,0.5971915430735247,0.8251454427925016,0.7281835811247576,0.677816345850426
MusicDelta_80sRock_STEM_04,0.7338468794214746,0.8865116279069768,0.843953488372093,0.799088193680239
HeladoNegro_MitadDelMundo_STEM_08,0.6400868260605868,0.6796070726915521,0.6126522593320236,0.7577169853481023
MusicDelta_SwingJazz_STEM_04,0.8459792477302205,0.936737729300942,0.928408527516113,0.8695201037613489
Auctioneer_OurFutureFaces_STEM_08,0.6976711716742992,0.858366518896987,0.768502517093696,0.7388305595889646
MusicDelta_Beatles_STEM_07,0.7076284711139483,0.8865470852017937,0.8062780269058296,0.7440153207788063
LizNelson_Coldwar_STEM_02,0.6457451167873242,0.8294450448159685,0.7267815142076155,0.7320038246141237
Creepoid_OldTree_STEM_07,0.7621251992854536,0.958768435784261,0.9320701905479599,0.7654290159620445
MusicDelta_Rock_STEM_05,0.5398936170212766,0.6152112676056338,0.5290140845070422,0.7712765957446809
HopAlong_SisterCities_STEM_07,0.7342290676716369,0.9311562224183584,0.8594991173874669,0.7529903326233001
LizNelson_Rainfall_STEM_01,0.7468266742731403,0.815641044182515,0.7411960373128932,0.8383488518978831
MusicDelta_Hendrix_STEM_04,0.6648142731792922,0.778755868544601,0.7118544600938967,0.7244808423515647
ClaraBerryAndWooldog_AirTraffic_STEM_08,0.7990561933130292,0.9322989307298931,0.8807531380753139,0.8328591987683658
AVERAGE,0.6933202876319015,0.8463301009253347,0.7798102388133701,0.7542364030595027
