filename,OA,RPA,RCA,VR
MusicDelta_ChineseJiangNan_STEM_01,0.5728017808357786,0.7620011567379988,0.7614227877385772,0.651421633107356
MusicDelta_Country1_STEM_05,0.7350041771094402,0.73053152039555,0.7215698393077874,0.8352548036758564
AvaLuna_Waterduct_STEM_08,0.6843295276471905,0.740972733971997,0.7366249078850405,0.7345198119543318
MusicDelta_CoolJazz_STEM_05,0.6826703246456333,0.9477666362807657,0.9264357338195077,0.7116483767718336
MusicDelta_Country2_STEM_05,0.7003658131027602,0.6469673405909798,0.6210471747019181,0.7695377452610576
MusicDelta_Beethoven_STEM_14,0.8702290076335878,0.9713740458015268,0.9561068702290076,0.8956743002544529
MusicDelta_Beethoven_STEM_16,0.8651399491094147,0.9471269917914051,0.9464027040077257,0.909245122985581
MusicDelta_Rockabilly_STEM_05,0.7416685305300827,0.705421497963021,0.6888122845502977,0.8991277119212704
MusicDelta_Grunge_STEM_05,0.6587158507835251,0.4995,0.49425,0.7424767715989461
BrandonWebster_YesSirICanFly_STEM_02,0.6801631226332654,0.7859421632191006,0.7560975609756098,0.7803670259248471
MusicDelta_Punk_STEM_04,0.6680121089808274,0.46505925623212097,0.44993870044953005,0.7404641775983855
MatthewEntwistle_ImpressionsOfSaturn_STEM_07,0.8250422317298433,0.929313489650797,0.9057072616246795,0.85614372996953
HezekiahJones_BorrowedHeart_STEM_04,0.7954873125720877,0.9378313392624352,0.9282713867725021,0.8363850442137639
HezekiahJones_BorrowedHeart_STEM_10,0.6958381391772396,0.8007685057637932,0.7709707822808671,0.7456026528258363
MusicDelta_Reggae_STEM_04,0.7185111332668661,0.6819757365684576,0.6525129982668978,0.801262878032569
AlexanderRoss_GoodbyeBolero_STEM_06,0.8657620446859233,0.67058049496432,0.6464902069942811,0.9237816710095914
SweetLights_YouLetMeDown_STEM_02,0.7871010736764161,0.8887636552800416,0.8782209120860066,0.8630581266197704
MusicDelta_Beethoven_STEM_06,0.7960135708227312,0.9201461377870563,0.9057933194154488,0.8587786259541985
AlexanderRoss_VelvetCurtain_STEM_06,0.8101185842105857,0.7177695092518102,0.6792789621882542,0.8940527366888942
FacesOnFilm_WaitingForGa_STEM_03,0.7238520120769681,0.8828787740581957,0.8416491836176229,0.7444684782118877
AClassicEducation_NightOwl_STEM_08,0.6826369607909528,0.808654602675059,0.727537372147915,0.733324304191779
MusicDelta_Britpop_STEM_07,0.7256232249921111,0.7820715036803365,0.7526288117770767,0.8281792363521616
MatthewEntwistle_DontYouEver_STEM_07,0.8010895020873638,0.6562052505966587,0.618854415274463,0.8544954688931881
MusicDelta_Beethoven_STEM_10,0.850932994062765,0.9496701685805033,0.946494014170535,0.8899491094147582
DreamersOfTheGhetto_HeavyLove_STEM_06,0.7518546942952161,0.8171295094731378,0.7766934855956398,0.8057736584213944
EthanHein_1930sSynthAndUprightBass_STEM_04,0.6695993366098335,0.6604246931278559,0.6530179494071618,0.8843719029994135
TheSoSoGlos_Emergency_STEM_05,0.6391254475303277,0.6289617486338798,0.5882513661202186,0.6865375925475338
NightPanther_Fire_STEM_07,0.6237872015698245,0.8349759088918091,0.8152650021901008,0.6899596642319852
MatthewEntwistle_ImpressionsOfSaturn_STEM_01,0.6077422206785494,0.8781346858269935,0.8480792711561942,0.6399488482973114
Lushlife_ToynbeeSuite_STEM_04,0.8227264751244471,0.9134493430064431,0.908528232966364,0.8374754107444656
MatthewEntwistle_FairerHopes_STEM_14,0.8809142018121752,0.9041218317663461,0.9036570979158475,0.9327292749367284
MusicDelta_LatinJazz_STEM_04,0.7583217753120666,0.862089552238806,0.8604179104477612,0.8330443828016644
MusicDelta_Beethoven_STEM_08,0.7832909245122985,0.9051403029550534,0.9046436553265458,0.8628074639525021
BigTroubles_Phantom_STEM_04,0.47167351453855877,0.8059980226299023,0.7925958475227947,0.521057206068268
MusicDelta_LatinJazz_STEM_05,0.668255894590846,0.8156192236598891,0.805452865064695,0.687760055478502
AClassicEducation_NightOwl_STEM_13,0.4325861718697095,0.8233009708737864,0.7388349514563107,0.4624500575607774
MusicDelta_Britpop_STEM_08,0.7691700852003787,0.7210730446024564,0.7188106011635423,0.8643105080467024
ClaraBerryAndWooldog_Stella_STEM_07,0.7784697508896797,0.9092904642004003,0.9061269287881722,0.809282325029656
PortStWillow_StayEven_STEM_08,0.402812620168098,0.8416035694970254,0.8284883720930233,0.43853802347512405
MusicDelta_BebopJazz_STEM_02,0.7294920223262108,0.7964105440269209,0.7901009534492428,0.858206010035519
StevenClark_Bounty_STEM_08,0.564464052942946,0.770870412746843,0.7529451648444784,0.6388448811791838
MusicDelta_ChineseXinJing_STEM_01,0.7944414846386078,0.8244815376833586,0.8180323722812342,0.902060024862369
MusicDelta_ChineseHenan_STEM_01,0.5805785123966942,0.7988059701492537,0.7967164179104478,0.6426603699330972
AimeeNorwich_Flying_STEM_15,0.9443496801705757,0.9055862787529053,0.9049450989821272,0.9753464818763327
MusicDelta_80sRock_STEM_04,0.764816852696117,0.8472093023255814,0.8337209302325581,0.8511240371010848
MatthewEntwistle_ImpressionsOfSaturn_STEM_09,0.5461391515763881,0.930536638518115,0.9260873513120857,0.5555801139862017
Meaxic_TakeAStep_STEM_04,0.810254199006201,0.810659996151626,0.7684240908216279,0.856145538170917
MatthewEntwistle_FairerHopes_STEM_11,0.9729526091072429,0.9562200723150591,0.9397048763803382,0.9815691350630784
MusicDelta_BebopJazz_STEM_05,0.5491345774369961,0.8213786213786214,0.820979020979021,0.6334780402548346
MusicDelta_LatinJazz_STEM_01,0.7819868238557559,0.8725575336517586,0.8188232739904473,0.8775138696255201
HeladoNegro_MitadDelMundo_STEM_08,0.7114310339323906,0.574302554027505,0.5684086444007859,0.7928623870782392
SweetLights_YouLetMeDown_STEM_08,0.6847093669011477,0.9030407895158448,0.8886539139350829,0.7185931136616068
MusicDelta_ChineseHenan_STEM_02,0.6652892561983471,0.7263237806035301,0.7120895805655723,0.7707595434868162
MusicDelta_BebopJazz_STEM_04,0.5549416474037323,0.7519230769230769,0.7339464882943144,0.7143823645486835
StrandOfOaks_Spacestation_STEM_04,0.3699833373006427,0.7954347826086956,0.7844565217391304,0.40530825993811
MatthewEntwistle_ImpressionsOfSaturn_STEM_08,0.5735937228651269,0.9019103600293902,0.8998285574332598,0.5935649895012709
