实验条件,Librosa OA,Basic Pitch OA,差异,Librosa RPA,Basic Pitch RPA,Librosa RCA,Basic Pitch RCA,Librosa VR,Basic Pitch VR
clean,65.89%,72.16%,+7.45%,85.12%,79.23%,79.66%,77.24%,72.34%,79.78%
distortion,67.03%,72.37%,+6.54%,86.46%,80.98%,80.92%,79.42%,72.59%,79.14%
noise_5db,64.53%,75.99%,+9.88%,74.25%,73.93%,66.96%,71.49%,70.69%,80.57%
noise_15db,69.33%,76.49%,+6.99%,84.63%,75.91%,77.98%,73.19%,75.42%,82.42%
pitch_shift_25cents,64.57%,71.01%,+6.61%,80.73%,73.08%,73.26%,70.28%,72.81%,79.43%
pitch_shift_50cents,47.46%,58.26%,+8.15%,47.12%,42.67%,44.80%,40.26%,69.72%,77.87%
